系统,产品,建设情况,用户,用户,用户,用户,用户,用户,用户,用户,角色,角色,角色,角色,组织,组织,备注
系统,产品,建设情况,来源,当前数量,是否有外部用户,是否有公共账号（部门/多人）,授权,维护频率,收费情况,用户涉及范围（到二级部门）,来源,配置逻辑,数量,审批流程,来源,备注,
国内ERP,SAP ECC,一期：2012年、二期：2016年,手工创建,439（含锁定）,有：外部顾问,有：部门账号,系统管理员（IT）手工开,平均每月4个,按用户数收费,"有SAP系统的主体均含用户账号，例如深圳洲明
财务管理中心-财务共享服务部（部分）；
集团销服体系-运营（部分）；
研发与交付体系-研发、运营、制造（部分）
采购中心-采购（部分）
照明产品线（部分）",手工创建,"组织-业务范围（应收、应付、采购、商务）；
将事务码及事务码涉及权限对象的具体权限分配给角色，再将角色分配给具体用户账号","有分配：2149
系统全部：5845",按角色配置：按审批策略（采购订单）；,自建/非必填,文本框录入、无关联、基本不用,
QMS,华会,2025年 进行中,同步HR系统账号（全量）,3276,有：供应商,目前无,管理员手工开,无法评估，权限、架构等均靠人工调整，调动、发文、权限申请等各种情况都会影响到用户维护,不限,目前同步的行政组织有深圳洲明、广东洲明、中山洲明,手工创建,按系统模块功能（角色：来料、研发、实验室、体系、设备、外部供应商等）,"有分配：
系统全部：3276",按角色配置：按部门划分（职员—负责人）；,从中间表同步；,,
CRM,瑞泰,2024年,手动创建,3429（启用）,有：服务商、分销商、代理商,目前无,系统管理员（IT）手工开,无法评估，权限、架构等均靠人工调整，调动、发文、权限申请等各种情况都会影响到用户维护,不限,"集团销服体系
照明产品线-景观产品部/经营管理部以及一些GTM
财经管理中心-销服财务管理部
集团显示研发与交付体系-各产品线、产品中心
法务与风控部-档案印章室/法务部
审计部 
公共关系事务部-政企运作部",手工创建,按系统模块+岗位开通（销售、运营、省/国总、大区总、渠道总、产品线总、营销中心负责人、销服总裁、市场人员、客工部人员、产品经理、定价、财务、法务、印章管理员、分销商-报备/下单、商务、GTM、服务商、服务营销工程师、客诉工程师、客服、寄修工程师、区域GTS......,,,自建,文本框录入,组织控制权限
PLM-PDM,windchill,2017,手工创建,1653,无,有：车间、IQC公用账号,系统管理员（IT）手工开,无法评估，权限、架构等均靠人工调整，调动、发文、权限申请等各种情况都会影响到用户维护,不限,深圳洲明、广东洲明、雷迪奥研发、采购全部人员，部分生产、品质、审计人员,手工创建,,"角色329个
人员组358个",按角色-人配置：审批角色一个角色多人，系统按人配置审批流（如审批流程到高级工程师，有5人，由申请人选择一个）,自建,基本不用,
PLM-项目管理,windchill,2022,手工创建,553,无,,系统管理员（IT）手工开,无法评估，权限、架构等均靠人工调整，调动、发文、权限申请等各种情况都会影响到用户维护,按照用户许可数授权,深圳洲明、广东洲明、雷迪奥研发、采购全部人员，部分生产、品质、审计人员,手工创建,按岗位+职责,角色40个,按角色-人配置：审批角色一个角色多人，系统按人配置审批流（如审批流程到高级工程师，有5人，由申请人选择一个）,自建,基本不用,
MES,华磊,2018,同步HR,"员工账号：996
供应商账号：3646
车间公用账号：68
设备对接账号：22
",有：供应商,有：车间公用账号,系统管理员（IT）手工开,,按并发数购买授权，目前并发450,"集团显示研发与交付体系-ALL
照明产品线-制造部",手工创建,,,,HR-组织架构,人员主数据显示、基本不用,
APS,VUV,一期：2020，二期：2025进行中,手工创建,4,无,有,加密狗授权,无，固定用户数,按照用户许可数授权,集团显示研发与交付体系/制造中心/资材部,手工创建,无,无,无,无,无,内容基于一期实施结果填写
SRM,企企通,一期、二期,手工创建,316,有：供应商,,系统管理员（IT）手工开,无法评估，权限、架构等均靠人工调整，调动、发文、权限申请等各种情况都会影响到用户维护,不限,深圳洲明、广东洲明、康利、柏年、雷迪奥采购全部人员，部分研发、制造、品质、审计、财务人员,手工创建,"① 按职责岗位（采购总经理、产品线总经理、开发一部负责人、研发工程师、成本运营工程师、各子公司管理员等）
② 按物料类型（型材开发采购工程师、PCB开发采购工程师、包辅组-采购工程师、行政采购工程师等）",181,,,,
TCM,西门子/雨阳,2024,手工创建,30,有：外部顾问,6个可编辑账号共用,系统管理员（IT）手工开,,按用户数收费,"工程部-平台工艺组；
现场PE",手工创建,按组织上下级关系,5,工程师共用一个可编辑账号，部门领导负责分配任务及审批流程,无,无组织模块,
WMS,立库,2023,手工创建,472,有：外部顾问,23个公用账号，用于楼层、看板的投放,用户自行设置帐号,无法评估，取决于仓库人员变动频率,不限,仓库、MC、生产、财务,手工创建,按岗位配置,15,无,无,无,
OA,泛微,2015,同步HR,5744(不含离职）,有：物业、餐饮,账号可以同事登录，原则上不设置公共账号给用户,支持用户自行设置帐号代理,3小时,按并发数购买授权，目前并发1500,all,手工创建,"① 按职责岗位（如集团董事长、产品线_租赁产品线_总经理（喻志）、财务会计组_应收会计（显示外贸）等）
② 按业务场景需要（广东洲明直发验货抄送、U_资质库_管理角色（东莞爱加）等）",2355,"角色可能用来审批也可能用来抄送，常用再固定职责审批或者同职责群组审批，抄送则按实际业务要求定义；
流程审批节点常用人 / 角色，对单个人审核的节点用个人用户更为方便于后续维护，对于多人会签或并行的用角色",同步HR,,
费控,汇联易,2021,同步OA,16680（含离职与注销）,有：技术支持/服务商,有：管理员/技术支持/服务商,支持用户自行设置帐号代理,12：38、20：38 执行同步,按用户数收费,目前同步的行政组织有深圳洲明、广东洲明、蓝普科技、康利、柏年、雷迪奥、数字文化,手工创建,"人员组主要用于指定职责、权限的人员群组，可用于流程审批、角色授权等；
角色 主要用户进行系统/数据权限赋予",角色80个，人员组279个,审批节点可以使用人员组/角色，根据实际需要（角色可以在同一个角色内分配数据权限，人员组不行）避免直接使用人。审核节点使用角色。,同步OA,由于EHR是后面引进，原本上汇联易的时候从OA同步，且考虑到使用到矩阵，所以EHR上线后保留从OA同步,
合并,SAP BPC,2022,手工创建,30,有：外部顾问、审计,有：部门账号/多人,管理员手工开,无法评估、按需求,按照用户许可数授权,无组织架构，仅部分IT、财务、运营用户,手工创建,"权限来源：团队、任务配置、数据访问配置
团队内含任务配置、数据访问配置权限可分配给用户
任务配置含执行业务操作配置和操作权限，可分配给团队和用户
数据访问配置含具体数据模型配置及执行权限，可分配给团队和用户","团队100
任务配置109",未在线上审批，线下沟通处理,无,无,
预算,SAP BPC,2025,手工创建,30,有：外部顾问、审计,有：部门账号/多人,管理员手工开,无法评估、按需求,按照用户许可数授权,无组织架构，仅部分IT、财务、运营用户,手工创建,"权限来源：团队、任务配置、数据访问配置
团队内含任务配置、数据访问配置权限可分配给用户
任务配置含执行业务操作配置和操作权限，可分配给团队和用户
数据访问配置含具体数据模型配置及执行权限，可分配给团队和用户","团队100
任务配置109",未在线上审批，线下沟通处理,无,无,
