序号,项目阶段,模块,"关键字
(表名+问题)","问题描述
(详细报错代码)",优先级,问题类型,问题截图,提出人,跟进人,提出时间,完成时间,问题状态,问题原因,解决方案（记录提交脚本的版本号）,备注说明,补充截图1,补充截图2,补充截图3,补充截图4,补充截图5,补充截图6
2,系统开发,ods,开发规范,表名后缀为di 代表增量，现在SAP数据量不大考虑全量,,标准化,,@赵彦,@李朝中,2025/11/13,2025/11/13,已解决待复测,,,,,,,,,
3,系统开发,ods,开发规范,sap需要加字段注释，字段名需要小写,,标准化,,@赵彦,@蔡岸榕,2025/11/13,2025/11/13,已解决待复测,,,,,,,,,
4,系统开发,ods,员工与任职接口,新增字段，需要取原工号,,方案调整,,@许凯文,@饶嘉璇,2025/11/18,2025/11/19,已完成,,,,,,,,,
5,系统开发,ods,开发规范,"select TABLE_SCHEMA, TABLE_NAME, COLUMN_NAME,COLUMN_COMMENT
from information_schema.`columns` c where TABLE_SCHEMA in ('ods') and coalesce(trim(COLUMN_COMMENT),'') = '' and (TABLE_NAME like 'ods_sap_erp_%' or TABLE_NAME like 'ods_sap_bpc_%')
and TABLE_NAME not in ('ods_sap_erp_adcp_df','ods_sap_erp_usr21_df')
order by TABLE_NAME,ORDINAL_POSITION
检查表注释，sap里有的要加上",,标准化,,@刘洋,"@蔡岸榕
@谭程俊",2025/11/18,2025/12/9,已完成,"erp、bpc的字段描述需要补充完整
erp 谭工完成",,,,,,,,
6,系统开发,ods,开发规范,"select TABLE_SCHEMA, TABLE_NAME, COLUMN_NAME,COLUMN_COMMENT
from information_schema.`columns` c where TABLE_SCHEMA in ('ods') and coalesce(trim(COLUMN_COMMENT),'') = ''  and TABLE_NAME not like 'test%' and TABLE_NAME not like 'ods_sap_erp_%' and TABLE_NAME not like 'ods_sap_bpc_%'
order by TABLE_NAME,ORDINAL_POSITION
确认源系统字段是否有注释",,标准化,,@刘洋,"@蔡岸榕
@谭程俊
@赵彦
@熊",2025/11/18,2025/12/22,已完成,"bi--蔡工（完成）
eam--谭工（完成）
ehr--赵彦（完成）
hly--谭工（完成）
mes--蔡工（完成）
oa--李工（剩下字段，oa系统反馈确认没有字段描述）
plm--蔡工（完成）
srm--（完成）
wms--谭程俊（完成）",确认下视图的注释，自动创建SQL取不到,,,,,,,
7,系统开发,ods,新增开发项,"STKO
PA0001
ZTSD007
CSKS",,无,,@饶嘉璇,@谭程俊,2025/11/18,2025/11/18,已完成,,,,,,,,,
8,内部测试,ods,ehr 人员,"人员任职 ods_ehr_emp_recordinfo_di 取过来 customproperties字段全是空值，怀疑跟主键模型有关，可用于检查的员工：""userID"": 706276002  ""customProperties"": {""extygh_106340_414207025"": ""U9053400""",,数据收集,,@赵彦,@饶嘉璇,2025/11/19,2025/11/19,已完成,"跟主键模型无关
原因是之前ehr没有授权该字段
重新拉取后解析json字段到新列即可",,,,,,,,
9,系统开发,ods,qms,新增状态字段,,方案调整,,@许凯文,@谭程俊,2025/11/19,2025/11/19,已完成,,,,,,,,,
10,系统开发,ods,ehr任务流,看看报错原因,,开发问题,,@饶嘉璇,@赵彦,2025/11/19,2025/11/20,已完成,测试员工时，去掉了组织和岗位的连接（见补充截图1）。运行时需要右键，选择“从此节点开始执行”见补充截图2,,,,,,,,
11,系统开发,ods,任务,"批量检查下
sap-erp 抽取数据统一限制过滤条件：MANDT='800'或CLIENT='800'
sap-bpc 抽取数据统一限制过滤条件：MANDT='700'或CLIENT='700'",,数据收集,,@饶嘉璇,@谭程俊,2025/11/24,2025/11/24,已完成,,,,,,,,,
12,系统开发,ods,任务,"批量检查下
sap-erp 抽取数据统一限制过滤条件：MANDT='800'或CLIENT='800'
sap-bpc 抽取数据统一限制过滤条件：MANDT='700'或CLIENT='700'",,数据收集,,@饶嘉璇,@蔡岸榕,2025/11/24,2025/12/18,已解决待复测,,,,,,,,,
13,方案设计,dwd,ods_plm_物料主数据,"1、待更新字段编码@刘洋
2、待跟生压确认采购信息记录分类来源表@邵炜杰，已确认EINE
3、物料带工厂问题：是否要区分一个单纯的物料表？当前情况：目前别的模块用不到工厂。基准价模块用到物料时，都会判断工厂@刘洋。（无需区分，物料表就直接用plm物料主数据信息）
4、确认物料+工厂是否一定会对应到物料采购类型、采购信息记录分类（正常是不会为空，有的话算异常）
5、plm和sap两张表的关联关系
6、确认同一个工厂+物料，是否有可能多种采购类型、采购信息记录分类（物料主数据工厂视图，一个时刻只会有一个采购类型+特殊采购类存在；业务单据可以存在多个）
7、确认下plm的物料可否带工厂（不带工厂，plm也是从映射表匹配）",,方案调整,,@刘洋,@邵炜杰,2025/11/24,2025/11/24,已完成,,"取消工厂、采购类型、采购信息记录分类字段，该模型不取sap数，改为直接从plm取数

关于上述三个字段的取值，直接使用SAP同步的材料价格表中信息，不进行其他关联",,,,,,,
14,方案设计,dim,dim_产品信息维表,2、补充模型的字段编码@刘洋,,无,,@刘洋,@刘洋,2025/11/24,2025/11/24,已完成,,,,,,,,,
